,Ticker,CompanyName,Sector,SubIndustry,HQLocation,DateFirstAdded,CIK,FoundedYear,QuoteURL,WikiPage,EDGARURL,HQLocationWikiPage,SectorId,Sector,IndustryGroupId,IndustryGroup,IndustryId,Industry,SubIndustryId,SubIndustry,SubIndustryDescription
10,AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,1955,https://www.nyse.com/quote/XNYS:AFL,/wiki/AFLAC_Inc,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AFL&action=getcompany,"/wiki/Columbus,_Georgia",40,Financials,4030,Insurance,403010,Insurance,40301020,Life & Health Insurance,"Companies providing primarily life, disability, indemnity or supplemental health insurance. Excludes managed care companies classified in the Managed Health Care Sub-Industry."
11,A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,0001090872,1999,https://www.nyse.com/quote/XNYS:A,/wiki/Agilent_Technologies_Inc,https://www.sec.gov/cgi-bin/browse-edgar?CIK=A&action=getcompany,"/wiki/Santa_Clara,_California",35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment,"Manufacturers of health care equipment and devices. Includes medical instruments, drug delivery systems, cardiovascular & orthopedic devices, and diagnostic equipment."
12,APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,0000002969,1940,https://www.nyse.com/quote/XNYS:APD,/wiki/Air_Products_%26_Chemicals_Inc,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APD&action=getcompany,"/wiki/Allentown,_Pennsylvania",15,Materials,1510,Materials,151010,Chemicals,15101040,Industrial Gases,Manufacturers of industrial gases.
13,AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",2007-07-12,0001086222,1998,http://www.nasdaq.com/symbol/akam,/wiki/Akamai_Technologies_Inc,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AKAM&action=getcompany,"/wiki/Cambridge,_Massachusetts",45,Information Technology,4510,Software & Services,451020,IT Services,45102030,Internet Services & Infrastructure,Companies providing services and infrastructure for the internet industry including data centers and cloud networking and storage infrastructure. Also includes companies providing web hosting services. Excludes companies classified in the Software Industry.
14,ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",2016-05-13,0000766421,1985,https://www.nyse.com/quote/XNYS:ALK,/wiki/Alaska_Air_Group_Inc,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALK&action=getcompany,"/wiki/Seattle,_Washington",20,Industrials,2030,Transportation,203020,Airlines,20302010,Airlines,Companies providing primarily passenger air transportation.
15,ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",2016-07-01,0000915913,1994,https://www.nyse.com/quote/XNYS:ALB,/wiki/Albemarle_Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALB&action=getcompany,"/wiki/Charlotte,_North_Carolina",15,Materials,1510,Materials,151010,Chemicals,15101050,Specialty Chemicals,"Companies that primarily produce high value-added chemicals used in the manufacture of a wide variety of products, including but not limited to fine chemicals, additives, advanced polymers, adhesives, sealants and specialty paints, pigments and coatings."
16,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",2017-03-20,0001035443,1994,https://www.nyse.com/quote/XNYS:ARE,/wiki/Alexandria_Real_Estate_Equities,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ARE&action=getcompany,"/wiki/Pasadena,_California",60,Real Estate,6010,Real Estate,601010,Equity Real Estate Investment Trusts (REITs),60101040,Office REITs,"Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of office properties."
17,ALXN,Alexion Pharmaceuticals,Health Care,Pharmaceuticals,"Boston, Massachusetts",2012-05-25,0000899866,1992,http://www.nasdaq.com/symbol/alxn,/wiki/Alexion_Pharmaceuticals,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALXN&action=getcompany,"/wiki/Boston,_Massachusetts",35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352020,Pharmaceuticals,35202010,Pharmaceuticals,"Companies engaged in the research, development or production of pharmaceuticals. Includes veterinary drugs."
18,ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",2017-06-19,0001097149,1997,http://www.nasdaq.com/symbol/algn,/wiki/Align_Technology,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALGN&action=getcompany,"/wiki/San_Jose,_California",35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101020,Health Care Supplies,"Manufacturers of health care supplies and medical products not classified elsewhere. Includes eye care products, hospital supplies, and safety needle & syringe devices."
19,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",2013-12-02,0001579241,1908,https://www.nyse.com/quote/XNYS:ALLE,/wiki/Allegion,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALLE&action=getcompany,"/wiki/Dublin,_Ireland",20,Industrials,2010,Capital Goods,201020,Building Products,20102010,Building Products,Manufacturers of building components and home improvement products and equipment. Excludes lumber and plywood classified under Forest Products and cement and other materials classified in the Construction Materials Sub-Industry.
20,LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,0000352541,1917,https://www.nyse.com/quote/XNYS:LNT,/wiki/Alliant_Energy_Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=LNT&action=getcompany,"/wiki/Madison,_Wisconsin",55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities,Companies that produce or distribute electricity. Includes both nuclear and non-nuclear facilities.
21,ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,0000899051,1931,https://www.nyse.com/quote/XNYS:ALL,/wiki/Allstate_Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ALL&action=getcompany,"/wiki/Northfield_Township,_Illinois",40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance,Companies providing primarily property and casualty insurance.
22,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,0001652044,1998,http://www.nasdaq.com/symbol/googl,/wiki/Alphabet_Inc.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GOOGL&action=getcompany,"/wiki/Mountain_View,_California",50,Communication Services,5020,Media & Entertainment,502030,Interactive Media & Services,50203010,Interactive Media & Services,"Companies engaging in content and information creation or distribution through proprietary platforms, where revenues are derived primarily through pay-per-click advertisements. Includes search engines, social media and networking platforms, online classifieds, and online review companies. Excludes companies operating online marketplaces classified in Internet & Direct Marketing Retail."
23,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,0001652044,1998,http://www.nasdaq.com/symbol/goog,/wiki/Alphabet_Inc.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=GOOG&action=getcompany,"/wiki/Mountain_View,_California",50,Communication Services,5020,Media & Entertainment,502030,Interactive Media & Services,50203010,Interactive Media & Services,"Companies engaging in content and information creation or distribution through proprietary platforms, where revenues are derived primarily through pay-per-click advertisements. Includes search engines, social media and networking platforms, online classifieds, and online review companies. Excludes companies operating online marketplaces classified in Internet & Direct Marketing Retail."
24,MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,0000764180,1985,https://www.nyse.com/quote/XNYS:MO,/wiki/Altria_Group_Inc,https://www.sec.gov/cgi-bin/browse-edgar?CIK=MO&action=getcompany,"/wiki/Richmond,_Virginia",30,Consumer Staples,3020,"Food, Beverage & Tobacco",302030,Tobacco,30203010,Tobacco,Manufacturers of cigarettes and other tobacco products.
25,AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,0001018724,1994,http://www.nasdaq.com/symbol/amzn,/wiki/Amazon.com_Inc.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMZN&action=getcompany,"/wiki/Seattle,_Washington",25,Consumer Discretionary,2550,Retailing,255020,Internet & Direct Marketing Retail,25502020,Internet & Direct Marketing Retail,"Companies providing retail services primarily on the Internet, through mail order, and TV home shopping retailers. Also includes companies providing online marketplaces for consumer products and services."
26,AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019-06-07,0001748790,2019 (1860),https://www.nyse.com/quote/XNYS:AMCR,/wiki/Amcor_plc,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMCR&action=getcompany,/wiki/Warmley,15,Materials,1510,Materials,151030,Containers & Packaging,15103020,Paper Packaging,Manufacturers of paper and cardboard containers and packaging.
27,AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,0001002910,1902,https://www.nyse.com/quote/XNYS:AEE,/wiki/Ameren_Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AEE&action=getcompany,"/wiki/St._Louis,_Missouri",55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities,"Utility companies with significantly diversified activities in addition to core Electric Utility, Gas Utility and/or Water Utility operations."
28,AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,0000006201,1934,http://www.nasdaq.com/symbol/aal,/wiki/American_Airlines_Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAL&action=getcompany,"/wiki/Fort_Worth,_Texas",20,Industrials,2030,Transportation,203020,Airlines,20302010,Airlines,Companies providing primarily passenger air transportation.
29,AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,0000004904,1906,https://www.nyse.com/quote/XNYS:AEP,/wiki/American_Electric_Power,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AEP&action=getcompany,"/wiki/Columbus,_Ohio",55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities,Companies that produce or distribute electricity. Includes both nuclear and non-nuclear facilities.
30,AXP,American Express Co,Financials,Consumer Finance,"New York, New York",1976-06-30,0000004962,1850,https://www.nyse.com/quote/XNYS:AXP,/wiki/American_Express_Co,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AXP&action=getcompany,"/wiki/New_York,_New_York",40,Financials,4020,Diversified Financials,402020,Consumer Finance,40202010,Consumer Finance,"Providers of consumer finance services, including personal credit, credit cards, lease financing, travel-related money services and pawn shops. Excludes mortgage lenders classified in the Thrifts & Mortgage Finance Sub-Industry."
31,AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31,0000005272,1919,https://www.nyse.com/quote/XNYS:AIG,/wiki/American_International_Group,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIG&action=getcompany,"/wiki/New_York,_New_York",40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance,Companies providing primarily property and casualty insurance.
32,AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,0001053507,1995,https://www.nyse.com/quote/XNYS:AMT,/wiki/American_Tower_Corp.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMT&action=getcompany,"/wiki/Boston,_Massachusetts",60,Real Estate,6010,Real Estate,601010,Equity Real Estate Investment Trusts (REITs),60101080,Specialized REITs,"Companies or Trusts engaged in the acquisition, development, ownership, leasing, management and operation of properties not classified elsewhere. Includes trusts that operate and invest in storage properties. It also includes REITs that do not generate a majority of their revenues and income from real estate rental and leasing operations."
33,AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,0001410636,1886,https://www.nyse.com/quote/XNYS:AWK,/wiki/American_Water_Works,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AWK&action=getcompany,"/wiki/Camden,_New_Jersey",55,Utilities,5510,Utilities,551040,Water Utilities,55104010,Water Utilities,Companies that purchase and redistribute water to the end-consumer. Includes large-scale water treatment systems.
34,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,0000820027,1894,https://www.nyse.com/quote/XNYS:AMP,/wiki/Ameriprise_Financial,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMP&action=getcompany,"/wiki/Minneapolis,_Minnesota",40,Financials,4020,Diversified Financials,402030,Capital Markets,40203010,Asset Management & Custody Banks,"Financial institutions primarily engaged in investment management and/or related custody and securities fee-based services. Includes companies operating mutual funds, closed-end funds and unit investment trusts. Excludes banks and other financial institutions primarily involved in commercial lending, investment banking, brokerage and other specialized financial activities."
35,ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001-08-30,0001140859,1985,https://www.nyse.com/quote/XNYS:ABC,/wiki/AmerisourceBergen_Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ABC&action=getcompany,"/wiki/Chesterbrook,_Pennsylvania",35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102010,Health Care Distributors,Distributors and wholesalers of health care products not classified elsewhere.
36,AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,0001037868,1930,https://www.nyse.com/quote/XNYS:AME,/wiki/AMETEK_Inc.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AME&action=getcompany,"/wiki/Berwyn,_Pennsylvania",20,Industrials,2010,Capital Goods,201040,Electrical Equipment,20104010,Electrical Components & Equipment,"Companies that produce electric cables and wires, electrical components or equipment not classified in the Heavy Electrical Equipment Sub-Industry."
37,AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,0000318154,1980,http://www.nasdaq.com/symbol/amgn,/wiki/Amgen_Inc.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMGN&action=getcompany,"/wiki/Thousand_Oaks,_California",35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352010,Biotechnology,35201010,Biotechnology,"Companies primarily engaged in the research, development, manufacturing and/or marketing of products based on genetic analysis and genetic engineering. Includes companies specializing in protein-based therapeutics to treat human diseases. Excludes companies manufacturing products using biotechnology but without a health care application."
38,APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,0000820313,1932,https://www.nyse.com/quote/XNYS:APH,/wiki/Amphenol_Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APH&action=getcompany,"/wiki/Wallingford,_Connecticut",45,Information Technology,4520,Technology Hardware & Equipment,452030,"Electronic Equipment, Instruments & Components",45203015,Electronic Components,"Manufacturers of electronic components. Includes electronic components, connection devices, electron tubes, electronic capacitors and resistors, electronic coil, printed circuit board, transformer and other inductors, signal processing technology/components."
39,ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",1999-10-12,0000006281,1965,http://www.nasdaq.com/symbol/adi,"/wiki/Analog_Devices,_Inc.",https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADI&action=getcompany,"/wiki/Norwood,_Massachusetts",45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301020,Semiconductors,"Manufacturers of semiconductors and related products, including manufacturers of solar modules and cells."
40,ANSS,"ANSYS, Inc.",Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,0001013462,1969,http://www.nasdaq.com/symbol/anss,"/wiki/ANSYS,_Inc.",https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANSS&action=getcompany,"/wiki/Canonsburg,_Pennsylvania",45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software,"Companies engaged in developing and producing software designed for specialized applications for the business or consumer market. Includes enterprise and technical software, as well as cloud-based software. Excludes companies classified in the Interactive Home Entertainment Sub-Industry. Also excludes companies producing systems or database management software classified in the Systems Software Sub-Industry."
41,ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",2002-07-25,0001156039,2014 (1946),https://www.nyse.com/quote/XNYS:ANTM,/wiki/Anthem_(company),https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANTM&action=getcompany,"/wiki/Indianapolis,_Indiana",35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102030,Managed Health Care,Owners and operators of Health Maintenance Organizations (HMOs) and other managed plans.
42,AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",1996-04-23,0000315293,1982 (1919),https://www.nyse.com/quote/XNYS:AON,/wiki/Aon_plc,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AON&action=getcompany,/wiki/London,40,Financials,4030,Insurance,403010,Insurance,40301010,Insurance Brokers,Insurance and reinsurance brokerage firms.
43,AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,0000091142,1916,https://www.nyse.com/quote/XNYS:AOS,/wiki/A.O._Smith_Corp,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AOS&action=getcompany,"/wiki/Milwaukee,_Wisconsin",20,Industrials,2010,Capital Goods,201020,Building Products,20102010,Building Products,Manufacturers of building components and home improvement products and equipment. Excludes lumber and plywood classified under Forest Products and cement and other materials classified in the Construction Materials Sub-Industry.
44,APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997-07-28,0000006769,1954,http://www.nasdaq.com/symbol/apa,/wiki/Apache_Corporation,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APA&action=getcompany,"/wiki/Houston,_Texas",10,Energy,1010,Energy,101020,"Oil, Gas & Consumable Fuels",10102020,Oil & Gas Exploration & Production,Companies engaged in the exploration and production of oil and gas not classified elsewhere.
45,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,0000320193,1977,http://www.nasdaq.com/symbol/aapl,/wiki/Apple_Inc.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AAPL&action=getcompany,"/wiki/Cupertino,_California",45,Information Technology,4520,Technology Hardware & Equipment,452020,"Technology Hardware, Storage & Peripherals",45202030,"Technology Hardware, Storage & Peripherals","Manufacturers of cellular phones, personal computers, servers, electronic computer components and peripherals. Includes data storage components, motherboards, audio and video cards, monitors, keyboards, printers, and other peripherals. Excludes semiconductors classified in the Semiconductors Sub-Industry."
46,AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995-03-16,0000006951,1967,http://www.nasdaq.com/symbol/amat,/wiki/Applied_Materials_Inc.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AMAT&action=getcompany,"/wiki/Santa_Clara,_California",45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301010,Semiconductor Equipment,"Manufacturers of semiconductor equipment, including manufacturers of the raw material and equipment used in the solar power industry."
47,APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012-12-24,0001521332,1994,https://www.nyse.com/quote/XNYS:APTV,/wiki/Aptiv_PLC,https://www.sec.gov/cgi-bin/browse-edgar?CIK=APTV&action=getcompany,,25,Consumer Discretionary,2510,Automobiles & Components,251010,Auto Components,25101010,Auto Parts & Equipment,Manufacturers of parts and accessories for automobiles and motorcycles. Excludes companies classified in the Tires & Rubber Sub-Industry.
48,ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29,0000007084,1902,https://www.nyse.com/quote/XNYS:ADM,/wiki/Archer-Daniels-Midland_Co,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ADM&action=getcompany,"/wiki/Chicago,_Illinois",30,Consumer Staples,3020,"Food, Beverage & Tobacco",302020,Food Products,30202010,Agricultural Products,"Producers of agricultural products. Includes crop growers, owners of plantations and companies that produce and process foods but do not package and market them. Excludes companies classified in the Forest Products Sub-Industry and those that package and market the food products classified in the Packaged Foods Sub-Industry."
49,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,0001596532,2004,https://www.nyse.com/quote/XNYS:ANET,/wiki/Arista_Networks,https://www.sec.gov/cgi-bin/browse-edgar?CIK=ANET&action=getcompany,"/wiki/Santa_Clara,_California",45,Information Technology,4520,Technology Hardware & Equipment,452010,Communications Equipment,45201020,Communications Equipment,"Manufacturers of communication equipment and products, including LANs, WANs, routers, telephones, switchboards and exchanges. Excludes cellular phone manufacturers classified in the Technology Hardware, Storage & Peripherals Sub-Industry."
50,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",2016-05-31,0000354190,1927,https://www.nyse.com/quote/XNYS:AJG,/wiki/Arthur_J._Gallagher_%26_Co.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AJG&action=getcompany,"/wiki/Itasca,_Illinois",40,Financials,4030,Insurance,403010,Insurance,40301010,Insurance Brokers,Insurance and reinsurance brokerage firms.
51,AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",2007-04-10,0001267238,1892,https://www.nyse.com/quote/XNYS:AIZ,/wiki/Assurant,https://www.sec.gov/cgi-bin/browse-edgar?CIK=AIZ&action=getcompany,"/wiki/New_York,_New_York",40,Financials,4030,Insurance,403010,Insurance,40301030,Multi-line Insurance,"Insurance companies with diversified interests in life, health and property and casualty insurance."
52,T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),0000732717,1983 (1885),https://www.nyse.com/quote/XNYS:T,/wiki/AT%26T_Inc.,https://www.sec.gov/cgi-bin/browse-edgar?CIK=T&action=getcompany,"/wiki/Dallas,_Texas",50,Communication Services,5010,Telecommunication Services,501010,Diversified Telecommunication Services,50101020,Integrated Telecommunication Services,Operators of primarily fixed-line telecommunications networks and companies providing both wireless and fixed-line telecommunications services not classified elsewhere. Also includes internet service providers offering internet access to end users.
